Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Total Sacks,Sacks Per Game,Forced Fumbles,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Yds Per Int,Int Ret TDs
Colin Jones,DB,31,37,11,48,1.55,1.0,0.03,1.0,0.0,4.0,1.0,0.0,0.0,0
Colin McCarthy,MLB,16,38,17,55,3.44,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0
Connor Barwin,LILB,14,26,8,34,2.43,5.0,0.36,0.0,1.0,0.0,0.0,0.0,0.0,0
Connor Barwin,LOLB,48,135,41,176,3.67,26.5,0.55,5.0,1.0,22.0,1.0,-2.0,-2.0,0
Connor Barwin,RDE,16,20,14,34,2.12,5.0,0.31,1.0,0.0,2.0,0.0,0.0,0.0,0
Corbin Bryant,LDT,16,24,21,45,2.81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Cordrea Tankersley,LCB,11,24,7,31,2.82,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0
Corey Ballentine,DB,28,38,8,46,1.64,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
Corey Graham,DB,30,90,22,112,3.73,1.0,0.03,1.0,0.0,16.0,6.0,101.0,16.83,0
Corey Graham,FS,16,62,25,87,5.44,1.0,0.06,0.0,1.0,9.0,1.0,0.0,0.0,0
Corey Graham,LCB,16,65,19,84,5.25,0.0,0.0,0.0,1.0,16.0,2.0,75.0,37.5,0
Corey Graham,SS,29,139,44,183,6.31,1.0,0.03,0.0,3.0,9.0,3.0,89.0,29.67,1
Corey Liuget,RDE,43,105,28,133,3.09,13.0,0.3,3.0,2.0,4.0,0.0,0.0,0.0,0
Corey Liuget,RDE/LDE,16,28,8,36,2.25,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0
Corey Moore,DB,14,20,7,27,1.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Corey Moore,SS,16,25,7,32,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
Corey Nelson,RILB,16,47,21,68,4.25,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0
Corey Peters,LDT,30,62,34,96,3.2,7.5,0.25,0.0,1.0,2.0,0.0,0.0,0.0,0
