Player,Position,Games Played,Targets,Receptions,Catch Percentage,Reception Yds,Reception Yds Per Attempt,Reception Yds Per Game,Reception TD,Rush,Rush Yds,Rush TD,Rush Yds Per Attempt,Rush Yds Per Game
Blake Jarwin,TE,41,95.0,70,73.68,780,11.14,1.71,8,0.0,0.0,0.0,0.0,0.0
Bobo Wilson,WR,14,17.0,8,47.06,105,13.12,0.57,1,3.0,8.0,0.0,2.67,2.67
Bradley Marquez,WR,30,29.0,16,55.17,125,7.81,0.53,0,1.0,2.0,0.0,2.0,0.14
Brandin Cooks,WR,132,964.0,630,65.35,8616,13.68,4.77,49,50.0,309.0,2.0,6.18,2.64
Brandon Aiyuk,WR,46,294.0,194,65.99,2589,13.35,4.22,18,13.0,117.0,2.0,9.0,2.54
Brandon Bostick,TE,40,29.0,17,58.62,186,10.94,0.42,2,0.0,0.0,0.0,0.0,0.0
Brandon Coleman,WR,48,124.0,79,63.71,1099,13.91,1.65,8,0.0,0.0,0.0,0.0,0.0
Brandon Gibson,WR,21,94.0,59,62.77,621,10.53,2.81,4,0.0,0.0,0.0,0.0,0.0
Brandon Johnson,WR,7,14.0,6,42.86,42,7.0,0.86,1,0.0,0.0,0.0,0.0,0.0
Brandon LaFell,WR,81,490.0,288,58.78,3640,12.64,3.56,23,7.0,35.0,0.0,5.0,0.59
Brandon Lloyd,WR,14,35.0,14,40.0,294,21.0,1.0,1,0.0,0.0,0.0,0.0,0.0
Brandon Marshall,WR,72,627.0,358,57.1,4596,12.84,4.97,38,0.0,0.0,0.0,0.0,0.0
Brandon Myers,TE,57,139.0,88,63.31,898,10.2,1.54,5,0.0,0.0,0.0,0.0,0.0
Brandon Pettigrew,TE,36,93.0,58,62.37,553,9.53,1.61,3,0.0,0.0,0.0,0.0,0.0
Brandon Powell,WR,38,67.0,47,70.15,354,7.53,1.24,2,20.0,91.0,0.0,4.55,2.39
Brandon Stokley,WR,6,21.0,13,61.9,115,8.85,2.17,0,0.0,0.0,0.0,0.0,0.0
Brandon Tate,WR,76,57.0,34,59.65,456,13.41,0.45,3,6.0,69.0,0.0,11.5,2.23
Brandon Williams,TE,30,11.0,6,54.55,80,13.33,0.2,0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,WR,14,17.0,13,76.47,121,9.31,0.93,0,0.0,0.0,0.0,0.0,0.0
Brandon Zylstra,WR,53,43.0,30,69.77,414,13.8,0.57,1,1.0,1.0,0.0,1.0,0.06
Braxton Berrios,WR,65,165.0,107,64.85,1085,10.14,1.65,5,19.0,160.0,4.0,8.42,3.27
Braxton Miller,WR,21,57.0,34,59.65,261,7.68,1.62,2,4.0,1.0,0.0,0.25,0.05
Braylon Sanders,WR,3,3.0,2,66.67,17,8.5,0.67,0,0.0,0.0,0.0,0.0,0.0
Brent Celek,TE,80,180.0,118,65.56,1525,12.92,1.48,11,0.0,0.0,0.0,0.0,0.0
Brenton Bersin,WR,42,51.0,32,62.75,415,12.97,0.76,1,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,WR,80,292.0,145,49.66,2343,16.16,1.81,16,11.0,16.0,0.0,1.45,0.23
Brevin Jordan,TE,20,56.0,34,60.71,306,9.0,1.7,3,0.0,0.0,0.0,0.0,0.0
Brian Hartline,WR,44,273.0,161,58.97,2013,12.5,3.66,8,0.0,0.0,0.0,0.0,0.0
Brian Leonhardt,TE,16,9.0,7,77.78,39,5.57,0.44,1,0.0,0.0,0.0,0.0,0.0
