Player,Position,Games Played,Pass Att,Pass Comp,Pass Comp Percentage,Int,Pass TD,Pass Yds,Pass Yds Per Comp,Pass Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
Brent Caprio,QB,11,135,75,55.56,2,5,1018,13.57,92.55,0.0,0.0,0.0,0.0,0.0
Brent Lyles,QB,9,169,100,59.17,7,2,841,8.41,93.44,0.0,0.0,0.0,0.0,0.0
Brent Stockstill,QB,44,1607,1053,65.53,34,106,12454,11.83,283.05,0.0,0.0,0.0,0.0,0.0
Bret Bushka,QB,21,557,351,63.02,21,29,4039,11.51,192.33,126.0,627.0,4.98,5.0,57.0
Bret Edwards,QB,10,258,160,62.02,5,12,1568,9.8,156.8,0.0,0.0,0.0,0.0,0.0
Brett Brumbaugh,QB,21,117,56,47.86,9,5,722,12.89,34.38,0.0,0.0,0.0,0.0,0.0
Brett Gabbert,QB,24,615,353,57.4,14,37,5059,14.33,210.79,0.0,0.0,0.0,0.0,0.0
Brett Hundley,QB,26,761,519,68.2,14,46,6226,12.0,239.46,319.0,1392.0,4.36,21.0,53.54
Brett Rypien,QB,50,1619,1036,63.99,29,90,13581,13.11,271.62,0.0,0.0,0.0,0.0,0.0
Brett Smith,QB,12,467,293,62.74,11,29,3375,11.52,281.25,125.0,573.0,4.58,4.0,47.75
Breylin Smith,QB,31,1141,710,62.23,36,77,8449,11.9,272.55,0.0,0.0,0.0,0.0,0.0
Brian Bell,QB,14,307,171,55.7,10,32,2490,14.56,177.86,108.0,614.0,5.69,9.0,43.86
Brian Burrell,QB,14,432,252,58.33,18,22,2620,10.4,187.14,0.0,0.0,0.0,0.0,0.0
Brian Hudson,QB,12,303,183,60.4,11,15,2184,11.93,182.0,183.0,884.0,4.83,8.0,73.67
Brian Lewerke,QB,37,1192,690,57.89,31,45,7912,11.47,213.84,124.0,559.0,4.51,5.0,43.0
Brion Carnes,QB,12,198,91,45.96,5,6,1182,12.99,98.5,0.0,0.0,0.0,0.0,0.0
Brock Bagozzi,QB,11,357,207,57.98,11,11,2190,10.58,199.09,0.0,0.0,0.0,0.0,0.0
Brock Jensen,QB,15,329,218,66.26,7,34,2793,12.81,186.2,99.0,479.0,4.84,10.0,31.93
Brock McCoin,WR,11,51,27,52.94,2,4,458,16.96,41.64,0.0,0.0,0.0,0.0,0.0
Brock Purdy,QB,48,1467,993,67.69,33,81,12170,12.26,253.54,87.0,382.0,4.39,5.0,31.83
Brodie Lambert,QB,21,456,250,54.82,25,21,2467,9.87,117.48,0.0,0.0,0.0,0.0,0.0
Brogan Roback,QB,34,1127,675,59.89,33,53,7888,11.69,232.0,0.0,0.0,0.0,0.0,0.0
Bronson Barron,QB,18,476,278,58.4,9,28,3626,13.04,201.44,0.0,0.0,0.0,0.0,0.0
Brooks Haack,QB,20,400,237,59.25,14,15,2782,11.74,139.1,0.0,0.0,0.0,0.0,0.0
Bryan Bailey,QB,9,171,96,56.14,8,9,1131,11.78,125.67,0.0,0.0,0.0,0.0,0.0
Bryan Bennett,QB,27,643,358,55.68,19,39,5522,15.42,204.52,320.0,1715.0,5.36,31.0,63.52
Bryan Schor,QB,29,714,488,68.35,20,55,6224,12.75,214.62,126.0,569.0,4.52,10.0,40.64
Bryant Horn,QB,24,212,120,56.6,10,13,1471,12.26,61.29,140.0,734.0,5.24,5.0,61.17
Bryant Shierreffs,QB,30,822,505,61.44,19,30,6375,12.62,212.5,154.0,503.0,3.27,3.0,41.92
Bryce  Jefferson,QB,4,109,54,49.54,6,3,640,11.85,160.0,0.0,0.0,0.0,0.0,0.0
Bryce Perkins,QB,27,845,545,64.5,21,47,6218,11.41,230.3,439.0,1692.0,3.85,20.0,62.67
Bryce Petty,QB,25,831,520,62.58,10,61,8055,15.49,322.2,0.0,0.0,0.0,0.0,0.0
Bryce Rivers,QB,5,143,76,53.15,2,6,1091,14.36,218.2,0.0,0.0,0.0,0.0,0.0
Bryce Young,QB,27,927,611,65.91,12,79,8200,13.42,303.7,0.0,0.0,0.0,0.0,0.0
Bryn Renner,QB,7,231,152,65.8,5,10,1765,11.61,252.14,0.0,0.0,0.0,0.0,0.0
Bryson Lucero,QB,7,146,79,54.11,8,7,969,12.27,138.43,0.0,0.0,0.0,0.0,0.0
C. Coffman,QB,9,241,152,63.07,10,18,1951,12.84,216.78,0.0,0.0,0.0,0.0,0.0
C.J. Beathard,QB,27,663,393,59.28,15,34,4738,12.06,175.48,0.0,0.0,0.0,0.0,0.0
C.J. Brown,QB,24,636,355,55.82,17,26,4530,12.76,188.75,301.0,1115.0,3.7,20.0,46.46
C.J. Stroud,QB,25,830,575,69.28,12,85,8123,14.13,324.92,0.0,0.0,0.0,0.0,0.0
CJ Ogbonna,QB,11,216,110,50.93,8,12,1503,13.66,136.64,93.0,364.0,3.91,3.0,33.09
Cade Chambers,QB,9,146,65,44.52,3,8,938,14.43,104.22,0.0,0.0,0.0,0.0,0.0
Cade McNamara,QB,14,327,210,64.22,6,15,2576,12.27,184.0,0.0,0.0,0.0,0.0,0.0
Cade Peterson,P,7,2,1,50.0,0,0,23,23.0,3.29,0.0,0.0,0.0,0.0,0.0
Cade Sparks,QB,10,173,85,49.13,10,6,1227,14.44,122.7,0.0,0.0,0.0,0.0,0.0
Caden Bell,QB,9,175,105,60.0,4,10,1198,11.41,133.11,0.0,0.0,0.0,0.0,0.0
Caleb Berry,QB,24,934,564,60.39,21,65,7041,12.48,293.38,0.0,0.0,0.0,0.0,0.0
Caleb Drake,WR,11,2,2,100.0,0,2,65,32.5,5.91,0.0,0.0,0.0,0.0,0.0
Caleb Evans,QB,36,1108,681,61.46,28,54,8679,12.74,241.08,417.0,2005.0,4.81,35.0,55.69
Caleb Griffin,QB,10,41,18,43.9,1,1,186,10.33,18.6,0.0,0.0,0.0,0.0,0.0
Caleb Herring,QB,13,405,256,63.21,5,24,2718,10.62,209.08,127.0,346.0,2.72,5.0,26.62
Caleb Williams,QB,25,711,469,65.96,9,63,6449,13.75,257.96,0.0,0.0,0.0,0.0,0.0
Calvin Turner Jr,QB,22,149,68,45.64,7,7,1171,17.22,53.23,448.0,2786.0,6.22,32.0,126.64
Cam Arnold,QB,10,59,35,59.32,3,3,433,12.37,43.3,0.0,0.0,0.0,0.0,0.0
Cam Fancher,QB,13,235,131,55.74,6,10,1558,11.89,119.85,0.0,0.0,0.0,0.0,0.0
