Player,Position,Games Played,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD,Reception Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
Mekale McKay,WR,26,60,1210,20.17,15,46.54,0.0,0.0,0.0,0.0,0.0
Melquan Stovall,WR,12,56,643,11.48,1,53.58,0.0,0.0,0.0,0.0,0.0
Melvin Rouse II,DB,10,48,553,11.52,2,55.3,0.0,0.0,0.0,0.0,0.0
Metrius Fleming,WR,12,47,629,13.38,3,52.42,0.0,0.0,0.0,0.0,0.0
Micah Simon,WR,13,51,616,12.08,2,47.38,0.0,0.0,0.0,0.0,0.0
Micah Wright,WR,34,152,2045,13.45,18,60.15,0.0,0.0,0.0,0.0,0.0
Michael Armstead,WR,12,24,553,23.04,3,46.08,0.0,0.0,0.0,0.0,0.0
Michael Bandy,WR,24,163,2850,17.48,26,118.75,0.0,0.0,0.0,0.0,0.0
Michael Bennett,WR,11,41,538,13.12,4,48.91,0.0,0.0,0.0,0.0,0.0
Michael Campanaro,WR,8,67,803,11.99,6,100.38,0.0,0.0,0.0,0.0,0.0
Michael Carner,WR,16,75,1140,15.2,8,71.25,0.0,0.0,0.0,0.0,0.0
Michael Clark,WR,12,37,632,17.08,5,52.67,0.0,0.0,0.0,0.0,0.0
Michael Dean,RB,11,52,754,14.5,8,68.55,0.0,0.0,0.0,0.0,0.0
Michael Dean,WR,23,98,1663,16.97,16,72.3,0.0,0.0,0.0,0.0,0.0
Michael Dereus,WR,22,87,1422,16.34,10,64.64,0.0,0.0,0.0,0.0,0.0
Michael Gallup,WR,26,176,2685,15.26,21,103.27,0.0,0.0,0.0,0.0,0.0
Michael Henry,WR,14,63,779,12.37,4,55.64,0.0,0.0,0.0,0.0,0.0
Michael Hudson,TE,11,30,269,8.97,3,24.45,0.0,0.0,0.0,0.0,0.0
Michael Jackson,WR,19,87,1089,12.52,9,57.32,0.0,0.0,0.0,0.0,0.0
Michael Jefferson,WR,28,124,1811,14.6,21,64.68,0.0,0.0,0.0,0.0,0.0
Michael Johnson,WR,24,138,1865,13.51,10,77.71,0.0,0.0,0.0,0.0,0.0
Michael Lawrence,WR,26,110,1480,13.45,7,56.92,0.0,0.0,0.0,0.0,0.0
Michael Love,WR,11,51,702,13.76,3,63.82,0.0,0.0,0.0,0.0,0.0
Michael Mathison,WR,25,108,1321,12.23,6,52.84,0.0,0.0,0.0,0.0,0.0
Michael Mayer,TE,36,180,2099,11.66,18,58.31,0.0,0.0,0.0,0.0,0.0
Michael Pittman,WR,24,142,2033,14.32,17,84.71,0.0,0.0,0.0,0.0,0.0
Michael Rector,WR,14,14,431,30.79,3,30.79,0.0,0.0,0.0,0.0,0.0
