Player,Position,Games Played,Rush,Rush Yds,Rush TD,Rush Yds Per Attempt,Rush Yds Per Game,Targets,Receptions,Catch Percentage,Reception Yds,Reception Yds Per Attempt,Reception Yds Per Game,Reception TD
Austin Johnson,RB,17,12,31,1,2.58,1.82,10.0,7.0,70.0,45.0,6.43,0.41,1.0
Austin Walter,RB,8,27,104,1,3.85,13.0,4.0,3.0,75.0,36.0,12.0,0.38,0.0
Avery Williams,RB,17,22,109,1,4.95,6.41,14.0,13.0,92.86,61.0,4.69,0.76,0.0
Ben Tate,RB,25,300,1142,8,3.81,45.68,61.0,43.0,70.49,200.0,4.65,1.72,0.0
BenJarvus Green-Ellis,RB,16,220,756,7,3.44,47.25,8.0,4.0,50.0,22.0,5.5,0.25,0.0
Benny Cunningham,RB,86,191,797,4,4.17,9.27,147.0,114.0,77.55,1001.0,8.78,1.33,3.0
Benny Snell Jr.,RB,63,275,982,7,3.57,15.59,24.0,17.0,70.83,114.0,6.71,0.27,0.0
Bernard Pierce,RB,36,251,813,4,3.24,22.58,36.0,25.0,69.44,124.0,4.96,0.69,0.0
Bernard Scott,RB,2,4,14,0,3.5,7.0,2.0,2.0,100.0,10.0,5.0,1.0,0.0
Bilal Powell,RB,93,727,3217,11,4.43,34.59,272.0,193.0,70.96,1453.0,7.53,2.08,5.0
Bishop Sankey,RB,29,199,762,3,3.83,26.28,45.0,32.0,71.11,272.0,8.5,1.1,1.0
Bo Scarbrough,RB,7,95,408,1,4.29,58.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Rainey,RB,65,267,1055,6,3.95,16.23,99.0,76.0,76.77,548.0,7.21,1.17,2.0
Boston Scott,RB,58,282,1209,16,4.29,20.84,84.0,67.0,79.76,514.0,7.67,1.16,1.0
Branden Oliver,RB,30,226,773,3,3.42,25.77,71.0,55.0,77.46,409.0,7.44,1.83,1.0
Brandon Bolden,RB,137,244,1089,10,4.46,7.95,145.0,107.0,73.79,948.0,8.86,0.78,7.0
Brandon Burks,RB,1,2,-4,0,-2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Jacobs,RB,7,58,238,4,4.1,34.0,7.0,2.0,28.57,13.0,6.5,0.29,0.0
Brandon Wilds,RB,7,16,42,0,2.62,6.0,2.0,2.0,100.0,20.0,10.0,0.5,0.0
Breece Hall,RB,7,80,463,4,5.79,66.14,31.0,19.0,61.29,218.0,11.47,2.71,1.0
Brian Hill,RB,45,209,982,3,4.7,21.82,48.0,38.0,79.17,313.0,8.24,0.84,1.0
